steamid,personaname,loccountrycode,recent_playtime_hours,profileurl,two_weeks
76561199061757205,V583,RO,1.4,https://steamcommunity.com/id/V-DLXXXIII/,2.08
76561198930519456,mimico ♥ ♡ ❤,US,46.5,https://steamcommunity.com/id/lolcatz69/,53.47
76561199488113940,Eric Bateman,PL,41.93,https://steamcommunity.com/id/haternex256/,38.22
76561199591030082,Locked In,US,0.0,https://steamcommunity.com/profiles/76561199591030082/,0.0
76561199588873857,cyrag,US,0.0,https://steamcommunity.com/profiles/76561199588873857/,0.0
76561198047633340,Pokebiologist,,42.18,https://steamcommunity.com/profiles/76561198047633340/,45.67
76561198134260098,naisu,UA,63.98,https://steamcommunity.com/id/jouppa/,64.88
76561198069708923,Shock,US,3.42,https://steamcommunity.com/id/Shocknclaw/,3.63
76561198288079629,Endless,,41.82,https://steamcommunity.com/profiles/76561198288079629/,54.28
76561198974401941,Svaha,IN,26.8,https://steamcommunity.com/id/UmbraSage567/,27.97
76561199701527165,Voltern†Vorn,,17.87,https://steamcommunity.com/profiles/76561199701527165/,19.77
76561198133583347,Wooper :3,CA,37.72,https://steamcommunity.com/id/FelixArgyleBestWaifu/,36.67
76561199048376150,LaterGrub,US,26.65,https://steamcommunity.com/profiles/76561199048376150/,37.37
76561198045331017,Papa Tri,US,31.3,https://steamcommunity.com/id/papa_tri/,30.8
76561198267935648,Azamos,,93.9,https://steamcommunity.com/profiles/76561198267935648/,95.28
76561198152889181,Cinder0802,,32.1,https://steamcommunity.com/profiles/76561198152889181/,27.67
76561198137220341,thePunisher,,10.02,https://steamcommunity.com/id/thePunisher09/,10.43
76561198035570083,The_Squad_Guy,GB,67.22,https://steamcommunity.com/profiles/76561198035570083/,56.6
76561199120233066,Spud,SM,59.18,https://steamcommunity.com/profiles/76561199120233066/,54.73
76561198429656041,XECR8,FI,0.0,https://steamcommunity.com/profiles/76561198429656041/,0.0
76561198325440338,30 pounds of fent up my urethra,JP,109.6,https://steamcommunity.com/id/mothmantraphouse/,103.32
76561198149669247,RaccoonRecker,US,10.47,https://steamcommunity.com/profiles/76561198149669247/,10.47
76561198335444055,owmybodyhurt,,3.02,https://steamcommunity.com/id/owmybodyhurt/,2.63
76561198351366117,Connor ヤギ,MX,22.8,https://steamcommunity.com/id/itsameconnor/,17.07
76561198081292234,Lord Shadow,JP,1.75,https://steamcommunity.com/id/jokygreen/,1.27
76561198094370759,LionHeart,US,44.42,https://steamcommunity.com/profiles/76561198094370759/,37.0
76561199396526527,Red,,52.1,https://steamcommunity.com/profiles/76561199396526527/,59.35
76561199577986385,APEX Snaz,PH,53.75,https://steamcommunity.com/profiles/76561199577986385/,39.22
76561199805217653,KB<Cruciotti>,,118.37,https://steamcommunity.com/profiles/76561199805217653/,126.37
76561199750896093,Twitch Drops,GB,0.0,https://steamcommunity.com/profiles/76561199750896093/,0.0
76561198368688387,HoovyMain,,2.9,https://steamcommunity.com/id/hOVYmaN/,2.93
76561199501890331,Mello,AU,244.93,https://steamcommunity.com/id/mellowasimposter/,278.68
76561199756444909,Dauntlos,US,0.0,https://steamcommunity.com/profiles/76561199756444909/,0.0
76561198838381654,Matcha Latte,ID,0.0,https://steamcommunity.com/profiles/76561198838381654/,0.0
76561199084591887,The Dirt Merchant,,11.78,https://steamcommunity.com/profiles/76561199084591887/,12.55
76561197978583696,Ryex,US,9.63,https://steamcommunity.com/id/Ryex/,10.22
76561198213207017,Lord Cash,US,68.57,https://steamcommunity.com/id/TheGhostofDFG/,73.73
76561199225439249,AVDIJAJ,,7.15,https://steamcommunity.com/profiles/76561199225439249/,8.33
76561199305883008,quorpalorp,CY,7.92,https://steamcommunity.com/id/quorpalorp/,7.92
